nom;num_station;nb_bornettes;En_service;M_en_S_16_nov_07;street;Mot_Directeur;No;Nrivoli;commune;code_insee;X_CC43;Y_CC43;X_WGS84;Y_WGS84
LEYGUE RIEUX;206;18;oui;2008;AV ARMAND LEYGUE;LEYGUE (AV ARMAND LEYGUE);20;3105550496;Toulouse;31555;1576065.3332;2267126.3204;1.4650904833343;43.5940543455013
CHRIST ROI;207;17;oui;2008;RUE DE L AUDE;AUDE (RUE DE L AUDE);25;3105550616;Toulouse;31555;1577404.8623;2265913.068;1.48194817911874;43.5833549065348
LIMAYRAC DARASSE;208;18;oui;2008;ALL DE LIMAYRAC;LIMAYRAC (ALL DE LIMAYRAC);;3105555273;Toulouse;31555;1577270.4308;2266785.1276;1.48008857920214;43.5911810321733
BAROUX DARASSE;209;17;oui;2008;AV LUCIEN BAROUX;BAROUX (AV LUCIEN BAROUX);4;3105555446;Toulouse;31555;1577170.0851;2266605.7998;1.47888635352404;43.5895508476564
FIRMIS;210;18;oui;2008;CHE DE LA TERRASSE;TERRASSE (CHE DE LA TERRASSE);42;3105558436;Toulouse;31555;1577490.5017;2266215.3092;1.48294081415045;43.58608881924
LE DORMEUR LA TERRASSE;211;18;oui;2008;RUE LE DORMEUR;DORMEUR (RUE LE DORMEUR);9;3105552746;Toulouse;31555;1577874.8591;2265918.3498;1.48776554499091;43.5834787322835
LAFILAIRE DELTOUR;198;20;oui;2008;CHE DE LAFILAIRE;LAFILAIRE (CHE DE LAFILAIRE);25;3105554932;Toulouse;31555;1576744.9499;2267355.434;1.47345400582045;43.5962276702336
ALBI PELET;171;20;oui;2008;RTE D ALBI;ALBI (RTE D ALBI);191;3105550124;Toulouse;31555;1576272.5444;2272347.0304;1.46647604379252;43.6410709316093
CRETES CHAUMIERES;212;17;oui;2008;RUE DE LA CHAUMIERE;CHAUMIERE (RUE DE LA CHAUMIERE);0;3105551989;Toulouse;31555;1576138.0254;2269476.6694;1.46545891345278;43.6152177967892
PUJOL CHAUBET;213;18;oui;2008;AV CAMILLE PUJOL;PUJOL (AV CAMILLE PUJOL);129;3105551584;Toulouse;31555;1576258.2035;2267862.3798;1.46731232250797;43.600710077627
CASTRES ACHIARY;214;17;oui;2008;AV DE CASTRES;CASTRES (AV DE CASTRES);48;3105551772;Toulouse;31555;1576762.6109;2267867.6414;1.47355743952202;43.6008400856499
METRO ARGOULETS;215;20;oui;2008;RUE DE GAILLAC;GAILLAC (RUE DE GAILLAC);8;3105553668;Toulouse;31555;1577001.2493;2270417.2906;1.47593975587374;43.6238241258909
ARGOULETS HOUDON;216;18;oui;2008;RUE JEAN HOUDON;HOUDON (RUE JEAN HOUDON);3;3105554592;Toulouse;31555;1576846.0124;2270302.0744;1.47404258888539;43.622761902725
PUCCINI BLAGNAC;219;18;oui;2008;RUE GIACOMO PUCCINI;PUCCINI (RUE GIACOMO PUCCINI);35;3105553888;Toulouse;31555;1571758.4873;2269485.6288;1.41121089956745;43.6145656940315
AMOUROUX SAINT TROPEZ;217;18;oui;2008;CHE AMOUROUX;AMOUROUX (CHE AMOUROUX);42;3105550260;Toulouse;31555;1576255.3762;2271091.9862;1.46654721088749;43.6297737136388
AMOUROUX SAINTE AUGUSTINE;218;18;oui;2008;CHE AMOUROUX;AMOUROUX (CHE AMOUROUX);24B;3105550260;Toulouse;31555;1575879.5917;2270864.5414;1.46194309591631;43.627665059382
TABAR UNIVERSITE;220;20;oui;2008;RUE UNIVERSITE DU MIRAIL;MIRAIL (RUE UNIVERSITE DU MIRAIL);3;3105558666;Toulouse;31555;1570941.6559;2265056.8986;1.40213704130626;43.5745711571162
VAUQUELIN;221;20;oui;2008;RUE NICOLAS L VAUQUELIN;VAUQUELIN (RUE NICOLAS L VAUQUELIN);85;3105556267;Toulouse;31555;1571311.1635;2265257.956;1.4066635857456;43.576443693102
FONTAINES CASSELARDIT;226;17;oui;2008;RUE DES FONTAINES;FONTAINES (RUE DES FONTAINES);292;3105553380;Toulouse;31555;1571418.0815;2268335.997;1.40726460663601;43.6041619432849
METRO PHARMACIE;228;20;oui;2008;CHE DES MARAICHERS;MARAICHERS (CHE DES MARAICHERS);35;3105555576;Toulouse;31555;1575960.5922;2264237.3774;1.46444748379563;43.5680384337328
METRO UPS;227;20;oui;2008;RTE DE NARBONNE;NARBONNE (RTE DE NARBONNE);118;3105556196;Toulouse;31555;1575831.3267;2263428.5066;1.46303076985776;43.5607377847451
IUT RANGUEIL;229;20;oui;2008;AV DE RANGUEIL;RANGUEIL (AV DE RANGUEIL);129;3105557268;Toulouse;31555;1575826.3672;2264623.4158;1.46269876705569;43.5714904569577
NARBONNE SAHUQUE;233;20;oui;2008;RTE DE NARBONNE;NARBONNE (RTE DE NARBONNE);105;3105556196;Toulouse;31555;1575490.3385;2264077.2052;1.45866363267974;43.566519469302
