ID;LOCALISATION;TYPE;X_CC43;Y_CC43;X_WGS84;Y_WGS84
64;JARDIN DU CHATEAU DE L'HERS;BAYARD;1577676.5253;2267911.4595;1.48486511203799;43.6013833234334
65;SQUARE SALIEGE;BAYARD;1574880.8072;2267838.8814;1.45026086696391;43.600271175922
68;JARDIN BOULINGRIN - GRAND ROND (proche kiosque);BAYARD;1575017.7762;2267267.6513;1.45208734641705;43.5951532348501
70;JARDIN DES PLANTES (Aire de jeux);WALLACE;1574862.9446;2266990.5374;1.45023348842956;43.592633709442
74;PLACE COMMERCIALE D'EMPALOT;BAYARD;1573896.7934;2265397.0182;1.43863762823046;43.5781321019455
75;PARC DU SACRE COEUR;BAYARD;1575591.968;2264741.7874;1.45977062981038;43.5725170876845
76;JARDIN DE RANGUEIL;BAYARD;1575750.1169;2264789.3944;1.46171735776542;43.5729716021296
77;JARDIN PIERRE LARROUSSE;BAYARD;1575573.74;2267430.4104;1.45893447144802;43.5967099492037
78;PARC DE LA BOISSERAIE;BAYARD;1576014.0365;2266613.4831;1.46457139509225;43.5894307104015
79;JARDIN SAINT-EXUPERY;BAYARD;1576406.4635;2265954.7005;1.46957869686697;43.5835665350354
80;BOIS DE LIMAYRAC;BAYARD;1577626.5831;2266507.6109;1.48456028379784;43.5887414626695
81;GRANDE PLAINE;BAYARD;1578183.0474;2266493.0957;1.49145313189025;43.5887009752884
82;GRANDE PLAINE;BAYARD;1578208.6268;2266447.3157;1.49178000887715;43.5882931162235
83;JARDIN CORRAZE;BAYARD;1577627.1921;2265474.5698;1.48479853349502;43.5794448062124
84;CITE DE MONTAUDRAN;BAYARD;1577436.419;2265087.8079;1.4825234156839;43.5759331801819
85;JARDIN ALALOUF;BAYARD;1577683.1228;2265103.56;1.48557371167241;43.5761150079892
86;PARC MONTAUDRAN;BAYARD;1578057.6851;2265079.8069;1.49021551662674;43.575961922917
87;ESPACE NATURE MARCAISSONNE;BAYARD;1579056.6334;2264513.6035;1.50270593228715;43.5710273113589
88;ESPACE NATURE RIBAUTE;BAYARD;1578917.3516;2265026.3129;1.50086871539913;43.5756190687519
89;CHEMIN DE RIBAUTE ESPACE NATURE;BAYARD;1579467.9282;2265204.6617;1.50764477712764;43.5773123417448
90;ILE DU RAMIER;PRESTO;1573556.6424;2264866.9467;1.43454926576638;43.5733048356452
91;JARDIN DES MERLETTES;BAYARD;1572240.8139;2264976.6626;1.41823671328477;43.5740703697869
92;JARDIN MAURY (Entrée sud);BAYARD;1570897.7568;2264911.508;1.40162790486182;43.5732552312394
93;PRADETTES RUE JEAN PAYA;BAYARD;1570068.8469;2265414.1724;1.39124878636227;43.5776364322213
94;COULEE VERTE DU TOUCH AV MAXWELL;BAYARD;1568150.8637;2266885.8279;1.36715296924208;43.5905470994904
95;COULEE VERTE DU TOUCH RTE BAYONNE;BAYARD;1569124.7261;2268392.4008;1.37885048008906;43.6042747093852
96;ESPACE NATURE DE SAINT MARTIN;BAYARD;1569492.1834;2268881.2612;1.38328452058251;43.6087377585564
97;JARDIN SAUVEGRAIN;BAYARD;1568977.3369;2266750.2141;1.3774180651159;43.5894708131857
98;JARDIN DES ARENES ROMAINES;BAYARD;1570793.1026;2269480.5613;1.39925479091158;43.6143551513588
99;PLACE BAUDIN;BAYARD;1571617.1398;2268400.2177;1.40971468178375;43.6047738179995
100;JARDINS DU PRESSENCE;BAYARD;1571808.5828;2268440.6175;1.41207607321267;43.6051699762771
101;JARDIN DU PRESSENCE;WALLACE;1571818.1245;2268428.7406;1.41219701965956;43.6050647169319
102;JARDIN BOURRASSOL;BAYARD;1572217.6579;2268132.6434;1.41721400610224;43.6024679345011
103;JARDIN DES FONTAINES;BAYARD;1572380.6781;2268024.4367;1.41925800840431;43.6015217846229
104;JARDIN DU BARRY;BAYARD;1571052.6661;2267809.9049;1.40286319669695;43.5993651007643
105;JARDIN RAYMOND VI;BAYARD;1573262.9812;2267874.0025;1.43021881517215;43.6003168940682
106;PRAIRIE DES FILTRES (entrée Escalier nord);BAYARD;1573851.4187;2267652.8382;1.43755653617819;43.5984253108093
107;PRAIRIE DES FILTRES (proche aire de jeux);BAYARD;1573731.3358;2267167.2412;1.43618150977658;43.5940351813247
108;PRAIRIE DES FILTRES (Entrée Sud);BAYARD;1573654.3155;2267065.1098;1.43525140231235;43.5931031646037
110;PLACE COMBES;WALLACE;1573616.1263;2267791.0707;1.43461104067258;43.5996298780919
111;JARDIN RUE ADOLPHE COLL;BAYARD;1572790.2614;2267606.1251;1.42442723707005;43.5978265521971
112;JARDIN POLYGONE;BAYARD;1572225.4734;2267487.2595;1.41746136301809;43.5966613063394
113;PARC ROQUEMAUREL;BAYARD;1572087.5251;2267452.7467;1.41576128290082;43.5963273167038
114;JARDIN DU PECH;BAYARD;1572063.6712;2266795.1814;1.41561949203622;43.5904056804892
115;JARDIN DE LA GIRONDE;BAYARD;1571535.7305;2266086.3551;1.40924916308269;43.5839369795458
116;FONTAINE LESTANG;BAYARD;1572544.1057;2266112.5442;1.42172665757617;43.584343840968
117;JARDIN COMPANS (ENTREE PL DE L EUROPE) - ALL FRANCISCO PONZAN VIDAL;BAYARD;1573480.5258;2269028.0708;1.43264606565596;43.6107391798291
119;JARDIN COMPANS (à 20m Entrée Nord);BAYARD;1573450.6064;2269248.8459;1.4322244680956;43.6127209574239
120;JARDIN COMPANS (Entrée Nord);BAYARD;1573448.8389;2269278.0723;1.43219581987298;43.6129836750403
